work_id,size_id,sale_price,regular_price
6725,2016,195,315
6721,2016,195,315
6727,30,95,95
6729,2016,195,315
208553,2016,195,315
6731,2016,195,315
6737,2416,215,355
6739,1624,215,355
6735,2016,195,315
6743,2016,195,315
6747,30,95,95
6749,2416,215,355
6751,1624,215,355
6753,2416,215,355
6755,2016,195,315
6757,1624,215,355
6765,30,95,95
208530,2016,195,315
6767,2416,215,355
6771,2416,215,355
23392,2430,285,505
185403,4824,375,685
185411,4824,375,685
185659,3624,315,555
185419,4824,375,685
185427,4824,375,685
185435,4824,375,685
185451,4824,375,685
185443,4824,375,685
185459,4824,375,685
185362,2430,285,505
185666,3624,315,555
185467,4824,375,685
23394,2430,285,505
23396,2436,315,565
185673,3624,315,555
23398,2430,285,505
185475,4824,375,685
185483,4824,375,685
23400,2430,285,505
185491,4824,375,685
185499,4824,375,685
185389,2436,315,565
185371,2430,285,505
185507,4824,375,685
185515,4824,375,685
185680,3624,315,555
185687,3624,315,555
185694,3624,315,555
185555,36,125,125
21100,1620,215,355
21102,2020,245,415
21104,2016,215,355
21106,1620,215,355
21108,2016,215,355
21110,2016,215,355
21112,1620,215,355
21114,2016,215,355
21116,2016,215,355
21118,2016,215,355
21120,2020,245,415
21122,2016,215,355
21124,1620,215,355
21126,1620,215,355
21128,1620,215,355
21130,1620,215,355
21132,2016,215,355
21134,2416,235,395
21136,1620,215,355
21138,3024,285,495
21140,2016,215,355
21144,1620,215,355
21142,1620,215,355
21146,1620,215,355
21148,2416,235,395
21150,1620,215,355
21152,1624,235,395
21154,1620,215,355
21156,2020,245,415
21158,1624,235,395
21160,1620,215,355
21162,1620,215,355
21164,1620,215,355
21168,1620,215,355
21170,2016,215,355
21166,2016,215,355
21172,1620,215,355
21174,2016,215,355
21176,2016,215,355
21178,2016,215,355
21180,1620,215,355
21184,1620,215,355
21182,1620,215,355
21186,2020,245,415
21188,2416,235,395
21192,1620,215,355
21190,2016,215,355
21194,2016,215,355
21196,1620,215,355
21198,1620,215,355
21200,1624,235,395
21202,1620,215,355
21204,1620,215,355
21206,1620,215,355
21208,1620,215,355
21210,1620,215,355
21212,2016,215,355
21214,1620,215,355
21218,2016,215,355
21216,2016,215,355
24383,2016,215,355
24385,1624,235,395
24387,2416,235,395
24389,2020,245,415
24391,2416,235,395
24393,2016,215,355
24395,2020,245,415
24397,1624,235,395
24399,1624,235,395
24401,1620,215,355
24403,2416,235,395
24405,1624,235,395
24407,1624,235,395
24409,2416,235,395
24411,1624,235,395
24413,1620,215,355
24415,1620,215,355
24417,1620,215,355
24419,1620,215,355
24421,1624,235,395
24423,2016,215,355
24425,2016,215,355
24427,1620,215,355
24429,2016,215,355
24431,1620,215,355
24433,1620,215,355
24435,1620,215,355
24437,2016,215,355
24439,1624,235,395
135364,2030,275,485
25499,30,95,95
25501,40,145,145
135373,2436,315,565
135382,2030,275,485
135355,3030,355,625
135346,3020,275,475
135324,1620,215,365
135391,24,85,85
135335,2430,285,505
6893,2016,195,305
6895,24,85,85
6899,36,125,125
6901,24,85,85
6903,24,85,85
6905,1624,215,345
6907,1620,195,305
6909,24,85,85
197821,36,125,125
6911,1624,215,345
6927,1624,215,345
6913,1620,195,305
6915,24,85,85
7818,1624,215,345
6917,1624,215,345
6919,1620,195,305
197866,30,95,95
6949,1620,195,305
6921,1620,195,305
6925,24,85,85
6929,24,85,85
6977,1624,215,345
6979,1624,215,345
6981,1624,215,345
6931,36,125,125
6933,16,255,425
6935,1624,215,345
6939,1620,195,305
6941,1624,215,345
6937,29,335,585
29612,1624,235,385
29614,2430,315,485
29616,1624,235,385
29618,1620,215,345
29620,36,125,125
29622,1624,235,385
29624,1624,235,385
29626,1624,235,385
29628,1624,235,385
29630,1624,235,385
29632,1624,235,385
29634,1624,235,385
29636,1624,235,385
29638,1620,215,345
29640,1624,235,385
29642,36,125,125
29644,1624,235,385
29646,1624,235,385
29648,1624,235,385
29650,1624,235,385
29652,1620,215,345
29654,1624,235,385
29656,1624,235,385
29658,1620,215,345
29660,1620,215,345
29662,1624,235,385
29664,2416,235,385
29666,1624,235,385
29668,1624,235,385
29670,1624,235,385
29672,1624,235,385
29674,1620,215,345
29676,2416,235,385
29678,2416,235,385
29680,1620,215,345
29682,1620,215,345
29684,1624,235,385
29686,1620,215,345
29688,1624,235,385
29690,1624,235,385
29692,1620,215,345
29694,1624,235,385
29696,1620,215,345
29698,1620,215,345
29700,1624,235,385
29702,1624,235,385
29704,1624,235,385
29706,1624,235,385
29708,24,85,85
29710,1624,235,385
29712,1624,235,385
29714,1624,235,385
29716,1624,235,385
29718,1624,235,385
29720,1624,235,385
29722,1620,215,345
29724,1624,235,385
182116,2416,215,355
182134,2016,195,315
182145,2016,195,315
182354,1620,195,315
182156,2016,195,315
182167,2016,195,315
182365,1620,195,315
182376,1620,195,315
25595,2016,195,315
182178,2016,195,315
182442,2020,235,395
25597,3024,265,455
25599,1624,215,355
182189,2016,195,315
182200,2016,195,315
25601,30,95,95
182451,2020,235,395
182211,2016,195,315
25603,36,125,125
25605,1620,195,315
25607,2016,195,315
182233,2016,195,315
182125,2416,215,355
182387,1620,195,315
182222,2016,195,315
182398,1620,195,315
182409,1620,195,315
182255,2016,195,315
182244,2016,195,315
182266,2016,195,315
156969,6854,845,1505
168278,30,95,95
192348,2024,245,355
29762,1620,215,355
29764,1624,235,395
29766,1620,215,355
175506,4824,395,725
29768,1624,235,395
29770,1624,235,395
175496,2016,215,355
175451,1620,215,355
175460,1620,215,355
175469,1620,215,355
29772,1620,215,355
29774,1624,235,395
29776,1620,215,355
29778,1620,215,355
175478,1620,215,355
29780,1620,215,355
175438,30,95,95
29784,1620,215,355
175487,1620,215,355
29786,1620,215,355
29788,1620,215,355
29790,2016,215,355
